EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 29 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 23 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 17 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 8 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 2 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 0 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 6 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 15 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 23 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 31 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 38 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 40 
EventType: Rotation EventDate: 9/28/2020 5:06:13 PM AdditionalInfo: 44 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 46 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 48 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 52 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 54 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 52 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 50 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 46 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 44 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 42 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 38 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 31 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 27 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 21 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 15 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 9 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 8 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 6 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 2 
EventType: Rotation EventDate: 9/28/2020 5:06:14 PM AdditionalInfo: 0 
EventType: Rotation EventDate: 9/28/2020 5:06:16 PM AdditionalInfo: 6 
EventType: Rotation EventDate: 9/28/2020 5:06:16 PM AdditionalInfo: 11 
EventType: Rotation EventDate: 9/28/2020 5:06:16 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 9/28/2020 5:06:16 PM AdditionalInfo: 15 
EventType: Rotation EventDate: 9/28/2020 5:06:16 PM AdditionalInfo: 19 
EventType: Rotation EventDate: 9/28/2020 5:06:16 PM AdditionalInfo: 21 
